2022-05-15 14:05:13 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (809c1d3b68eaa46878d66cab066e8ad0)] -> xpath: //input[@id='email']]
2022-05-15 14:05:273 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (809c1d3b68eaa46878d66cab066e8ad0)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:719 INFO  SigninPage :95 - verify signOut Link Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Log me out']'
2022-05-15 14:05:274 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:841 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (8f1da0c7ceee3b702ee322e62fb9389c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:904 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (8f1da0c7ceee3b702ee322e62fb9389c)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 14:05:143 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:47 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (63fac87f7c32b7fe5d806e857e640c4d)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:84 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (63fac87f7c32b7fe5d806e857e640c4d)] -> xpath: //input[@id='email']]
2022-05-15 14:05:177 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (63fac87f7c32b7fe5d806e857e640c4d)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:205 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:145 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (835ff8434310d378bdff8cd5ad63eaa0)] -> xpath: //a[normalize-space()='Sign in']]
